feature,importance
Units Sold,32.93935026802649
Units Ordered,8.085573496438883
Epidemic,6.18114920289214
Promotion,4.28403189142664
Inventory Level,2.3038281480469807
Product ID,1.7228587298415867
Weather Condition,1.1490756350858629
Seasonality,0.8898105655043284
Region,0.7164179712420863
Price,0.6520667005654082
Category,0.5486652051422432
Competitor Pricing,0.4947261188808334
Discount,0.3502071964103915
Year,0.20892102067610963
Store ID,0.2008708817050108
Month,0.18911675547642484
Day,0.03134642104955352
